"","GEOID","NAME","variable","value"
"225","39097","Madison County, Ohio","pct.latino",2.9
"226","39099","Mahoning County, Ohio","pct.latino",6.2
"227","39101","Marion County, Ohio","pct.latino",3
"228","39103","Medina County, Ohio","pct.latino",2.5
"229","39105","Meigs County, Ohio","pct.latino",0.8
"230","39107","Mercer County, Ohio","pct.latino",2.2
"231","39109","Miami County, Ohio","pct.latino",2
"232","39111","Monroe County, Ohio","pct.latino",0.5
"233","39113","Montgomery County, Ohio","pct.latino",3.9
"234","39115","Morgan County, Ohio","pct.latino",0.9
"235","39117","Morrow County, Ohio","pct.latino",1.7
"236","39119","Muskingum County, Ohio","pct.latino",1.2
"237","39121","Noble County, Ohio","pct.latino",1.2
"238","39123","Ottawa County, Ohio","pct.latino",5.1
"239","39125","Paulding County, Ohio","pct.latino",5.4
"240","39127","Perry County, Ohio","pct.latino",0.7
"241","39129","Pickaway County, Ohio","pct.latino",1.5
"242","39131","Pike County, Ohio","pct.latino",0.8
"243","39133","Portage County, Ohio","pct.latino",2.2
"244","39135","Preble County, Ohio","pct.latino",0.9
"245","39137","Putnam County, Ohio","pct.latino",6.5
"246","39139","Richland County, Ohio","pct.latino",2.1
"247","39141","Ross County, Ohio","pct.latino",1.3
"248","39143","Sandusky County, Ohio","pct.latino",10.3
"249","39145","Scioto County, Ohio","pct.latino",1.4
"250","39147","Seneca County, Ohio","pct.latino",5.3
"251","39149","Shelby County, Ohio","pct.latino",1.6
"252","39151","Stark County, Ohio","pct.latino",2.8
"253","39153","Summit County, Ohio","pct.latino",2.4
"254","39155","Trumbull County, Ohio","pct.latino",2.1
"255","39157","Tuscarawas County, Ohio","pct.latino",4.2
"256","39159","Union County, Ohio","pct.latino",2.4
"257","39161","Van Wert County, Ohio","pct.latino",3.8
"258","39163","Vinton County, Ohio","pct.latino",0.7
"259","39165","Warren County, Ohio","pct.latino",3.2
"260","39167","Washington County, Ohio","pct.latino",1.2
"261","39169","Wayne County, Ohio","pct.latino",2.4
"262","39171","Williams County, Ohio","pct.latino",5
"263","39173","Wood County, Ohio","pct.latino",6.3
"264","39175","Wyandot County, Ohio","pct.latino",2.9
